x,y,apple,barracuda
0,0,0.74018676238481,1.259813237615188
0,1,0.771468846404646,1.2285311535953531
0,2,0.792719961588709,1.2072800384112892
0,3,0.7990119632651558,1.2009880367348424
0,4,0.7931542149689657,1.206845785031034
0,5,0.7742934870530258,1.2257065129469729
0,6,0.7475262061614456,1.2524737938385533
0,7,0.714671523686663,1.2853284763133361
0,8,0.6793758133783415,1.3206241866216573
0,9,0.6458598750942701,1.3541401249057288
0,10,0.6190783434339296,1.3809216565660698
0,11,0.6000249498107166,1.3999750501892825
0,12,0.5908306797720971,1.4091693202279016
0,13,0.5916102460624935,1.408389753937507
0,14,0.6016350334045525,1.3983649665954463
0,15,0.6215905710540965,1.3784094289459023
0,16,0.6487536557667243,1.3512463442332758
0,17,0.6811769455206514,1.3188230544793482
0,18,0.7182390398090087,1.2817609601909912
0,19,0.7580915770073999,1.2419084229925987
0,20,0.7974811777279189,1.2025188222720793
0,21,0.8354859722124834,1.164514027787516
0,22,0.8681153520377121,1.1318846479622875
0,23,0.8929235356649985,1.1070764643350013
0,24,0.910009282021409,1.0899907179785902
0,25,0.91638440575973,1.0836155942402685
0,26,0.9117832106389498,1.0882167893610497
0,27,0.8975849492806673,1.1024150507193315
0,28,0.8779535429413741,1.1220464570586262
0,29,0.8574341472893244,1.1425658527106748
0,30,0.8386930792708664,1.1613069207291327
0,31,0.8290406278741169,1.1709593721258837
0,32,0.8288776227122066,1.1711223772877926
0,33,0.8404923916664708,1.1595076083335278
0,34,0.8679173917884974,1.1320826082115014
0,35,0.904692131758793,1.0953078682412052
0,36,0.949035802265492,1.050964197734508
0,37,0.993468996494318,1.0065310035056827
0,38,1.0347105012497855,0.9652894987502137
0,39,1.067539989887321,0.9324600101126785
0,40,1.0878214901924101,0.9121785098075899
0,41,1.0931318671626014,0.9068681328373989
0,42,1.0859046089321982,0.9140953910678016
0,43,1.0676750483747144,0.9323249516252856
0,44,1.0425981116873824,0.9574018883126181
0,45,1.01519528571034,0.9848047142896609
0,46,0.988717349691344,1.0112826503086554
0,47,0.9686978648902287,1.031302135109771
0,48,0.9570468786830708,1.042953121316929
0,49,0.9554214844332627,1.0445785155667364
1,0,0.7422921543715778,1.2577078456284203
1,1,0.7697357399730211,1.2302642600269782
1,2,0.7886960857109819,1.2113039142890178
1,3,0.7948177496290789,1.2051822503709202
1,4,0.790620023098525,1.2093799769014746
1,5,0.7754018126910589,1.2245981873089398
1,6,0.7536566295206452,1.2463433704793534
1,7,0.7269021728015199,1.2730978271984785
1,8,0.6982730016154155,1.3017269983845843
1,9,0.6714883164164475,1.3285116835835518
1,10,0.6509072644007202,1.3490927355992803
1,11,0.6372230879619789,1.3627769120380204
1,12,0.6323710087989711,1.3676289912010284
1,13,0.6364726272911452,1.3635273727088553
1,14,0.6485758788168898,1.3514241211831082
1,15,0.6692103054879492,1.3307896945120499
1,16,0.695945119836946,1.3040548801630525
1,17,0.72674706382365,1.2732529361763496
1,18,0.7607783426428609,1.2392216573571386
1,19,0.7962673705058299,1.2037326294941695
1,20,0.8301886761236447,1.1698113238763541
1,21,0.8617123584102564,1.1382876415897443
1,22,0.8874896936568506,1.1125103063431498
1,23,0.9055420378580863,1.0944579621419135
1,24,0.9162525661131636,1.0837474338868358
1,25,0.9176307042921439,1.0823692957078543
1,26,0.9098190626651272,1.0901809373348723
1,27,0.8942487424578585,1.1057512575421407
1,28,0.8749988461066337,1.1250011538933662
1,29,0.8560944824392547,1.1439055175607442
1,30,0.8398673605831002,1.1601326394169
1,31,0.8325326826920343,1.1674673173079642
1,32,0.8340501854503231,1.1659498145496752
1,33,0.8461244212503628,1.1538755787496375
1,34,0.8720532120971978,1.1279467879028
1,35,0.9059298241181993,1.0940701758817997
1,36,0.9460576014821362,1.0539423985178629
1,37,0.9858570115247696,1.0141429884752293
1,38,1.0225329267176133,0.977467073282386
1,39,1.0515180540225917,0.9484819459774076
1,40,1.0690922916041812,0.9309077083958182
1,41,1.073019633832923,0.9269803661670772
1,42,1.065375146966652,0.9346248530333476
1,43,1.0471411354576023,0.9528588645423974
1,44,1.021728997101194,0.9782710028988049
1,45,0.9931347720945374,1.0068652279054624
1,46,0.9640095075194368,1.0359904924805619
1,47,0.9392155316977644,1.0607844683022338
1,48,0.9208271466278709,1.0791728533721288
1,49,0.9106692160937906,1.0893307839062087
2,0,0.7514094563822376,1.2485905436177616
2,1,0.773879676051669,1.2261203239483307
2,2,0.7894231862175045,1.2105768137824942
2,3,0.7942832310013026,1.205716768998696
2,4,0.7907627699679157,1.209237230032083
2,5,0.7783230580948459,1.221676941905153
2,6,0.7608905370386521,1.2391094629613462
2,7,0.7396528961385712,1.2603471038614276
2,8,0.7172263418458198,1.282773658154179
2,9,0.6967825046469299,1.303217495353068
2,10,0.6820301087553609,1.3179698912446383
2,11,0.6733348016178756,1.3266651983821243
2,12,0.6723991458809574,1.3276008541190398
2,13,0.679354989085586,1.3206450109144137
2,14,0.6930457402546487,1.3069542597453494
2,15,0.7138730974347931,1.2861269025652073
2,16,0.7397483041469942,1.2602516958530043
2,17,0.768634970424262,1.2313650295757372
2,18,0.7995029240064124,1.200497075993587
2,19,0.8306999751198328,1.1693000248801684
2,20,0.8594579387274006,1.1405420612725978
2,21,0.8849917938853604,1.1150082061146387
2,22,0.9045691162646647,1.0954308837353337
2,23,0.9166242415066972,1.0833757584933008
2,24,0.9217689752335672,1.0782310247664322
2,25,0.918908234689513,1.0810917653104866
2,26,0.9085834677076932,1.091416532292308
2,27,0.8922268560944281,1.1077731439055714
2,28,0.8738231238432514,1.1261768761567483
2,29,0.8568634124086957,1.1431365875913042
2,30,0.8433958935908563,1.1566041064091424
2,31,0.8385415885911943,1.161458411408804
2,32,0.8418651719808529,1.1581348280191468
2,33,0.8544876000668988,1.1455123999331012
2,34,0.8790263502633705,1.1209736497366283
2,35,0.9101104518729455,1.089889548127052
2,36,0.9461534237522481,1.053846576247751
2,37,0.9814472807723638,1.018552719227635
2,38,1.0136899393514383,0.9863100606485616
2,39,1.0389248230305488,0.9610751769694508
2,40,1.0538323226424509,0.946167677357548
2,41,1.0563383433310953,0.9436616566689033
2,42,1.0481148097033834,0.9518851902966162
2,43,1.0295760689911968,0.9704239310088041
2,44,1.0033635938616934,0.9966364061383057
2,45,0.9729477788794112,1.0270522211205875
2,46,0.9404011998697626,1.0595988001302366
2,47,0.9099397349561653,1.0900602650438342
2,48,0.8838279100586375,1.1161720899413632
2,49,0.8641273071361599,1.1358726928638387
3,0,0.7648348598146542,1.2351651401853445
3,1,0.7816853065694616,1.2183146934305378
3,2,0.7931035469221837,1.2068964530778157
3,3,0.7959295538291599,1.2040704461708396
3,4,0.7923321862624709,1.2076678137375272
3,5,0.7819298947887936,1.2180701052112064
3,6,0.7681440350873977,1.231855964912602
3,7,0.751818679611328,1.24818132038867
3,8,0.7350684576003891,1.2649315423996093
3,9,0.7204990864534866,1.2795009135465123
3,10,0.7111402727671904,1.28885972723281
3,11,0.7070170670486945,1.292982932951305
3,12,0.7095723140300867,1.2904276859699109
3,13,0.718947838414755,1.2810521615852453
3,14,0.7338122738614057,1.2661877261385928
3,15,0.7544615246072754,1.245538475392723
3,16,0.7791830210245012,1.220816978975498
3,17,0.8060230751957301,1.1939769248042686
3,18,0.8337899248555832,1.1662100751444155
3,19,0.8609902454266553,1.1390097545733453
3,20,0.8851319497873336,1.1148680502126653
3,21,0.9054358895718997,1.0945641104281003
3,22,0.9197323864344905,1.080267613565509
3,23,0.9268029697839513,1.0731970302160485
3,24,0.9274185708451614,1.0725814291548375
3,25,0.9212455385752111,1.0787544614247886
3,26,0.909198693129355,1.0908013068706444
3,27,0.89265751126672,1.1073424887332795
3,28,0.8755002232365838,1.1244997767634146
3,29,0.8606946619182108,1.1393053380817886
3,30,0.8500731261141882,1.1499268738858128
3,31,0.8477014652059984,1.1522985347940014
3,32,0.8528191264107563,1.1471808735892437
3,33,0.865998596666394,1.1340014033336063
3,34,0.8892504985330323,1.1107495014669673
3,35,0.9177008481125934,1.0822991518874057
3,36,0.9499013993929446,1.050098600607055
3,37,0.9809458053975327,1.0190541946024672
3,38,1.0090101645584972,0.990989835441502
3,39,1.0306791130944988,0.9693208869055002
3,40,1.0429979824165838,0.9570020175834165
3,41,1.0440244893333657,0.9559755106666334
3,42,1.034998642376684,0.9650013576233156
3,43,1.0157755095497596,0.9842244904502402
3,44,0.988234975762111,1.0117650242378888
3,45,0.9553419551392301,1.044658044860769
3,46,0.9186453744081575,1.0813546255918423
3,47,0.8817628149345182,1.1182371850654818
3,48,0.8471637935467796,1.1528362064532187
3,49,0.8172127858825532,1.1827872141174458
4,0,0.7809836844520669,1.2190163155479303
4,1,0.7919617294446216,1.2080382705553774
4,2,0.7988619714153185,1.201138028584678
4,3,0.7990992065615916,1.200900793438407
4,4,0.7947807572763435,1.2052192427236563
4,5,0.7856742887754431,1.214325711224554
4,6,0.7747734075738568,1.2252265924261427
4,7,0.7625909242101025,1.2374090757898957
4,8,0.7507849748749147,1.249215025125083
4,9,0.7414012496263735,1.2585987503736265
4,10,0.7367964594203027,1.2632035405796977
4,11,0.7366669644001835,1.2633330355998162
4,12,0.7421833045004081,1.2578166954995893
4,13,0.7534885247489815,1.2465114752510185
4,14,0.7691207002043108,1.2308792997956877
4,15,0.7892847794325335,1.2107152205674652
4,16,0.8126597932394497,1.187340206760549
4,17,0.8374409343966676,1.1625590656033316
