price,demand,supply
0.001,1716.3530298471185,0.37297085161121757
0.04953675671897326,1716.3530298471185,1.7487531926977773
0.09807351343794651,1716.2813650945407,3.132273516989387
0.14661027015691977,1715.3625210623502,5.322956091547527
0.19514702687589303,1712.788500989034,8.498822130945399
0.24368378359486628,1711.8153803830885,12.728345978504418
0.29222054031383954,1710.4272305580218,17.35374658163166
0.34075729703281277,1706.573901560431,27.602540991933562
0.38929405375178605,1700.6759406166414,42.743469931705874
0.43783081047075934,1695.528335540974,66.0941521003702
0.48636756718973256,1684.6665055452588,113.18441102418181
0.5349043239087058,1665.1999241219949,164.50669411436382
0.5834410806276791,1634.4894905865383,274.4265848172899
0.6319778373466524,1579.2452391857676,468.4673996662866
0.6805145940656255,1512.651294586596,774.9110691806484
0.7290513507845988,1364.6842081504165,984.7402864853469
0.7775881075035721,1147.5070187095287,1174.0300965578215
0.8261248642225454,858.7234115217461,1265.2395160955623
0.8746616209415187,647.7281063590519,1271.5009406254653
0.9231983776604918,489.72785115580825,1271.5009406254653
0.9717351343794651,444.8520892216578,1271.5009406254653
1.0202718910984383,444.8520892216578,1271.5009406254653
1.0688086478174115,444.8520892216578,1271.5009406254653
1.1173454045363849,444.8520892216578,1271.5009406254653
1.165882161255358,444.8520892216578,1271.5009406254653
1.2144189179743312,444.8520892216578,1407.6301903574479
1.2629556746933046,444.8520892216578,1546.611444252933
1.3114924314122778,395.7558472505907,1558.6455488828794
1.360029188131251,228.59856343942954,1558.6455488828794
1.4085659448502243,157.7074809642408,1558.6455488828794
1.4571027015691975,157.7074809642408,1558.6455488828794
1.505639458288171,157.7074809642408,1580.1756069423989
1.554176215007144,157.7074809642408,1675.101739876231
1.6027129717261173,154.30489056924733,1715.6030587602165
1.6512497284450907,97.04171645750493,1716.2171078456422
1.6997864851640638,6.082160268632066,1716.2171078456422
1.7483232418830372,0.13592200147635475,1716.2171078456422
1.7968599986020104,0.13592200147635475,1716.2171078456422
1.8453967553209836,0.13592200147635475,1716.3530298471185
1.893933512039957,0.13592200147635475,1716.3530298471185
